Country,State,Year,As On Date,Category,"Number Of Houses Sanctioned (UOM:Number), Scaling Factor:1","Number Of Houses Completed (UOM:Number), Scaling Factor:1","Average Construction Time (UOM:Days), Scaling Factor:1","Average Administrative Time (UOM:Days), Scaling Factor:1","Average Financial Transaction Time (UOM:Days), Scaling Factor:1","Actual Average Completion Time (UOM:Days), Scaling Factor:1","Average Completion Time (UOM:Days), Scaling Factor:1"
India,Assam,"Financial Year (Apr - Mar), 2024",11-Mar-2026,All Category,6467,0,0,0,0,0,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2024",11-Mar-2026,All Category,5064,0,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2024",11-Mar-2026,All Category,8091,0,0,0,0,0,0
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2024",11-Mar-2026,All Category,504,0,0,0,0,0,0
India,Jharkhand,"Financial Year (Apr - Mar), 2024",11-Mar-2026,All Category,237,0,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2024",11-Mar-2026,All Category,1,0,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2024",11-Mar-2026,All Category,9,0,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2024",11-Mar-2026,All Category,5932,0,0,0,0,0,0
India,Odisha,"Financial Year (Apr - Mar), 2024",11-Mar-2026,All Category,1269,0,0,0,0,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2024",11-Mar-2026,All Category,413,0,0,0,0,0,0
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2024",11-Mar-2026,All Category,1591,0,0,0,0,0,0
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2023",11-Mar-2026,All Category,1835,0,0,0,0,0,0
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2023",11-Mar-2026,Others,1567,0,0,0,0,0,0
India,Assam,"Financial Year (Apr - Mar), 2023",11-Mar-2026,All Category,76506,5,19,4,4,27,28
India,Assam,"Financial Year (Apr - Mar), 2023",11-Mar-2026,Others,26530,0,0,0,0,0,0
India,Assam,"Financial Year (Apr - Mar), 2023",11-Mar-2026,SC,16492,0,0,0,0,0,0
