Country,State,Year,As On Date,"Number Of Houses Completed (UOM:Number), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2023",11-Mar-2026,25
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2023",11-Mar-2026,25209
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2023",11-Mar-2026,21373
India,Assam,"Financial Year (Apr - Mar), 2023",11-Mar-2026,390243
India,Bihar,"Financial Year (Apr - Mar), 2023",11-Mar-2026,76346
India,Chhattisgarh,"Financial Year (Apr - Mar), 2023",11-Mar-2026,232375
India,Goa,"Financial Year (Apr - Mar), 2023",11-Mar-2026,94
India,Gujarat,"Financial Year (Apr - Mar), 2023",11-Mar-2026,143887
India,Haryana,"Financial Year (Apr - Mar), 2023",11-Mar-2026,1777
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2023",11-Mar-2026,4556
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2023",11-Mar-2026,79148
India,Jharkhand,"Financial Year (Apr - Mar), 2023",11-Mar-2026,50074
India,Karnataka,"Financial Year (Apr - Mar), 2023",11-Mar-2026,34042
India,Kerala,"Financial Year (Apr - Mar), 2023",11-Mar-2026,5136
India,Ladakh,"Financial Year (Apr - Mar), 2023",11-Mar-2026,1487
India,Lakshadweep,"Financial Year (Apr - Mar), 2023",11-Mar-2026,1
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2023",11-Mar-2026,129645
India,Maharashtra,"Financial Year (Apr - Mar), 2023",11-Mar-2026,108280
India,Manipur,"Financial Year (Apr - Mar), 2023",11-Mar-2026,1754
India,Meghalaya,"Financial Year (Apr - Mar), 2023",11-Mar-2026,48609
India,Mizoram,"Financial Year (Apr - Mar), 2023",11-Mar-2026,9314
India,Nagaland,"Financial Year (Apr - Mar), 2023",11-Mar-2026,8197
India,Odisha,"Financial Year (Apr - Mar), 2023",11-Mar-2026,525946
India,Puducherry,"Financial Year (Apr - Mar), 2023",11-Mar-2026,0
India,Punjab,"Financial Year (Apr - Mar), 2023",11-Mar-2026,3079
India,Rajasthan,"Financial Year (Apr - Mar), 2023",11-Mar-2026,31228
India,Sikkim,"Financial Year (Apr - Mar), 2023",11-Mar-2026,249
India,Tamil Nadu,"Financial Year (Apr - Mar), 2023",11-Mar-2026,100219
India,Telangana,"Financial Year (Apr - Mar), 2023",11-Mar-2026,0
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2023",11-Mar-2026,359.00000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2023",11-Mar-2026,131880
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2023",11-Mar-2026,378344
India,Uttarakhand,"Financial Year (Apr - Mar), 2023",11-Mar-2026,38563
India,West Bengal,"Financial Year (Apr - Mar), 2023",11-Mar-2026,13868
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2022",11-Mar-2026,97
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2022",11-Mar-2026,2167
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2022",11-Mar-2026,9344
India,Assam,"Financial Year (Apr - Mar), 2022",11-Mar-2026,995879
India,Bihar,"Financial Year (Apr - Mar), 2022",11-Mar-2026,1140758
India,Chhattisgarh,"Financial Year (Apr - Mar), 2022",11-Mar-2026,33485
India,Goa,"Financial Year (Apr - Mar), 2022",11-Mar-2026,12
India,Gujarat,"Financial Year (Apr - Mar), 2022",11-Mar-2026,65085
India,Haryana,"Financial Year (Apr - Mar), 2022",11-Mar-2026,4640
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2022",11-Mar-2026,3650
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2022",11-Mar-2026,76695
India,Jharkhand,"Financial Year (Apr - Mar), 2022",11-Mar-2026,360219
India,Karnataka,"Financial Year (Apr - Mar), 2022",11-Mar-2026,2640
India,Kerala,"Financial Year (Apr - Mar), 2022",11-Mar-2026,8823
India,Ladakh,"Financial Year (Apr - Mar), 2022",11-Mar-2026,1
India,Lakshadweep,"Financial Year (Apr - Mar), 2022",11-Mar-2026,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2022",11-Mar-2026,1023290
India,Maharashtra,"Financial Year (Apr - Mar), 2022",11-Mar-2026,328885
