Country,State,Year,As On Date,Category,"Registered (UOM:Number), Scaling Factor:1","Sanctioned (UOM:Number), Scaling Factor:1","Eligible For Lpg Connection (UOM:Number), Scaling Factor:1","House With Lpg Connection (UOM:Number), Scaling Factor:1","Swachh Bharat Mission Number (UOM:Number), Scaling Factor:1","Job Card Number Mapped (UOM:Number), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2025",03-Dec-2025,All Category,0,0,0,0,0,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2025",03-Dec-2025,All Category,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2025",03-Dec-2025,All Category,0,0,0,0,0,0
India,Assam,"Financial Year (Apr - Mar), 2025",03-Dec-2025,All Category,125932,325233,0,0,0,125932
India,Bihar,"Financial Year (Apr - Mar), 2025",03-Dec-2025,All Category,62408,435906,0,0,0,62406
India,Chhattisgarh,"Financial Year (Apr - Mar), 2025",03-Dec-2025,All Category,49889,261363,0,0,6,49889
India,Goa,"Financial Year (Apr - Mar), 2025",03-Dec-2025,All Category,0,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2025",03-Dec-2025,All Category,1,0,0,0,0,1
India,Haryana,"Financial Year (Apr - Mar), 2025",03-Dec-2025,All Category,20,0,0,0,0,20
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2025",03-Dec-2025,All Category,0,0,0,0,0,0
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2025",03-Dec-2025,All Category,0,0,0,0,0,0
India,Jharkhand,"Financial Year (Apr - Mar), 2025",03-Dec-2025,All Category,7,0,0,0,0,7
India,Karnataka,"Financial Year (Apr - Mar), 2025",03-Dec-2025,All Category,3697,0,0,0,0,3697
India,Kerala,"Financial Year (Apr - Mar), 2025",03-Dec-2025,All Category,82,0,0,0,0,82
India,Ladakh,"Financial Year (Apr - Mar), 2025",03-Dec-2025,All Category,0,0,0,0,0,0
India,Lakshadweep,"Financial Year (Apr - Mar), 2025",03-Dec-2025,All Category,0,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2025",03-Dec-2025,All Category,41940,1625,0,0,0,41940
India,Maharashtra,"Financial Year (Apr - Mar), 2025",03-Dec-2025,All Category,110295,877940,0,0,0,110295
India,Manipur,"Financial Year (Apr - Mar), 2025",03-Dec-2025,All Category,0,0,0,0,0,0
